wave_breaking_area,wave_breaking_duration,wave_breaking_initial_speed,wave_breaking_mean_speed,wave_breaking_length,wave_breaking_perimeter,max_wave_breaking_length,max_wave_breaking_perimeter,ellipse_major_axis,ellipse_minor_axis,max_ellipse_major_axis,max_ellipse_minor_axis,wind_speed,peak_frequency_1,peak_frequency_2,date,reconstruction_area,aquisition_length
0.20170877563746564,0.4,2.45061202834949,1.6574658718129198,8.151726462601486,4.389713489098041,8.151726462601486,8.151726462601486,5.266178150272655,2.65607290160869,1.2012289577989042,0.7745384090355953,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.610036516722104,0.8666666666666667,3.7134699163727554,1.5382148145832442,27.723975569344546,9.49022805598659,27.723975569344546,27.723975569344546,16.35141083604674,5.20611298455475,1.7980853878417542,0.651511627601832,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
1.100593413894932,0.8,4.0103212745621155,1.6267508018262677,28.751866933181187,10.393726909776804,28.751866933181187,28.751866933181187,10.088658103811822,5.517298428487223,1.4379501563337844,0.9296811943982939,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.9645159470231184,0.7333333333333333,1.3274928834716884,1.6581618302103054,24.307950998213872,11.578104338737752,24.307950998213872,24.307950998213872,12.135196774518484,5.470398334159424,1.8429250805377904,0.9000940381996757,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.035230425254736464,0.4666666666666667,3.4260761360559178,1.617876081744209,7.363915871657358,1.3821765160678763,7.363915871657358,7.363915871657358,1.8497666927059577,0.7591226990736213,0.3934479791786149,0.15672785239841489,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
3.0627873256893214,1.2,1.7456779667584583,1.666535883348211,57.03912166971411,29.925984124029426,57.03912166971411,57.03912166971411,33.39259757424251,10.22517252258703,2.6112255094624057,1.1084296063460577,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.13749165286104506,0.4,1.6049220263831427,1.5515882549814883,5.5782006934737876,2.616387965545444,5.5782006934737876,5.5782006934737876,3.1440236726964463,0.8270366105919815,0.8085333169961705,0.2106767389634549,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.14977170617004038,0.6666666666666666,1.808129350022971,1.5741454595333577,14.24709708764208,3.340038164493298,14.24709708764208,14.24709708764208,3.2320311244031146,2.131134102489872,0.6434287123014605,0.5658263202476375,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
1.679290708635428,1.1333333333333333,2.0544249717956253,1.8706749256651038,45.4392133908869,16.73386473872803,45.4392133908869,45.4392133908869,16.862644143979374,8.294113185107145,1.577974125965362,1.0060688521520542,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
3.7839494194444994,1.2,1.5428515473331486,1.8591881175711795,56.47577124257625,32.18500199520401,56.47577124257625,56.47577124257625,31.365440390028592,9.102269009993334,2.660122681411909,0.9245853000176342,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.27521611224938164,0.7333333333333333,1.2168090481889178,1.7987340471902629,20.84821049365802,5.168267936369428,20.84821049365802,20.84821049365802,7.970216517922528,2.2965024854553513,1.2467731508418392,0.42449794021639153,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.5682797530975194,0.6666666666666666,1.222711646513635,1.8558844278136337,20.023548755296236,9.388387869583067,20.023548755296236,20.023548755296236,12.711579550052404,2.448343782787782,1.777410500646739,0.37120571286274845,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
1.7820846447287186,1.2666666666666666,1.8589194783775638,1.529046113156827,47.37625045285866,17.17816307648723,47.37625045285866,47.37625045285866,17.65026848777852,7.8656590964551585,1.6705374893578038,0.6979398111147216,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
1.9919619026971098,1.2666666666666666,1.414616513153029,1.640031343254473,56.62243593037052,26.834648259540856,56.62243593037052,56.62243593037052,26.772146524488843,10.939230759016954,2.329793915989552,1.0212433525880014,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.9822360718140565,0.8,1.380234266594061,1.697568482454135,22.73250172158229,11.742973850129854,22.73250172158229,22.73250172158229,11.857700537937477,3.9131152087856282,1.6457184639490425,0.5195786090116001,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
1.4393528501154622,0.8,3.009821625910999,1.5673356037746666,26.06866336288646,15.54455969759741,26.06866336288646,26.06866336288646,16.00532366649188,5.041016901788759,1.7381142793608453,0.7724936806122085,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
4.889443210292249,2.2666666666666666,1.3588396588400462,2.274154753990312,198.59129493527348,54.80686220186062,198.59129493527348,198.59129493527348,77.10565422305083,26.35660268666305,4.11108496573865,1.2639728949725983,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.21913500165797878,0.6,1.316736639638539,1.8739968952599642,14.40636976096439,4.106554667336004,14.40636976096439,14.40636976096439,7.370195986314912,1.2881690808744388,1.4729862109340408,0.2770038255595897,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
0.42359411743337216,0.4666666666666667,1.0250479125562886,2.1579322864192623,12.373059129737289,6.903045862574767,12.373059129737289,12.373059129737289,8.50266059970432,2.119950773525434,1.868413610804301,0.45159027286863906,10.7,0.3223,0.498,2011-10-01 14:18:00,53.4,420.0
